Generated by Rfunction:  Get.alv.mw41.edt.func2 
============> Radisonde_info:
RS_type:        RS92
RS_config:      2.02
RS_serialnum:   G3043154
RS_freq:        405.3
RS__windtype:   ccGPS
=============> Station_info:
Station:        ALVICE_RS92SGP
Latitude:       39.0563
Longitude:      -76.8755
Altitude:       53
SW version:     MW41 2.2.0
Start time:     2020-01-23 06:46:40
=============> Variables & units - Vaisala EDT
NA_numeric value:  -9999
NA_string:  xx or NA
-----------------------------
	  Variable       Unit
	      time        sec
	        xx         NA
	        Ta          K
	        RH          %
	   v(S->N)        m/s
	   u(E->W)        m/s
	    Height          m
	     press        hPa
	        Td          K
	        MR       g/Kg
	        DD        dgr
	        FF        m/s
	        xx         NA
	        xx         NA
	        xx         NA
	       Lon        dgr
	       Lat        dgr
	        xx         NA
	        xx         NA
	        xx         NA
=============> Data:
2898.55  -9999.    211.46 1.55e+00     -1.86     10.73      17956.4     75.41    183.56 1.90e-03     279.81     10.89  -9999.  -9999.  -9999.   -76.4671    39.0596  -9999.  -9999.  -9999.
2899.55  -9999.    211.48 1.56e+00     -1.81     10.82      17960.6     75.36    183.59 1.91e-03     279.48     10.97  -9999.  -9999.  -9999.   -76.4670    39.0596  -9999.  -9999.  -9999.
2900.55  -9999.    211.51 1.56e+00     -1.76     10.91      17965.1     75.31    183.64 1.93e-03     279.17     11.05  -9999.  -9999.  -9999.   -76.4668    39.0595  -9999.  -9999.  -9999.
2901.55  -9999.    211.55 1.57e+00     -1.73     11.01      17969.7     75.25    183.70 1.95e-03     278.90     11.15  -9999.  -9999.  -9999.   -76.4667    39.0595  -9999.  -9999.  -9999.
2902.55  -9999.    211.60 1.58e+00     -1.69     11.11      17974.6     75.19    183.76 1.97e-03     278.67     11.24  -9999.  -9999.  -9999.   -76.4666    39.0595  -9999.  -9999.  -9999.
2903.55  -9999.    211.64 1.58e+00     -1.67     11.21      17980.0     75.12    183.79 1.98e-03     278.47     11.34  -9999.  -9999.  -9999.   -76.4665    39.0594  -9999.  -9999.  -9999.
2904.55  -9999.    211.67 1.58e+00     -1.65     11.31      17985.7     75.06    183.81 1.99e-03     278.30     11.43  -9999.  -9999.  -9999.   -76.4664    39.0594  -9999.  -9999.  -9999.
2905.55  -9999.    211.68 1.59e+00     -1.64     11.42      17991.1     74.99    183.87 2.02e-03     278.17     11.53  -9999.  -9999.  -9999.   -76.4662    39.0595  -9999.  -9999.  -9999.
2906.55  -9999.    211.67 1.62e+00     -1.63     11.52      17996.2     74.93    183.94 2.04e-03     278.06     11.63  -9999.  -9999.  -9999.   -76.4661    39.0595  -9999.  -9999.  -9999.
2907.55  -9999.    211.65 1.63e+00     -1.63     11.62      18001.4     74.87    183.96 2.05e-03     278.00     11.73  -9999.  -9999.  -9999.   -76.4659    39.0595  -9999.  -9999.  -9999.
2908.55  -9999.    211.62 1.62e+00     -1.64     11.72      18006.7     74.80    183.94 2.04e-03     277.99     11.83  -9999.  -9999.  -9999.   -76.4658    39.0595  -9999.  -9999.  -9999.
2909.55  -9999.    211.59 1.62e+00     -1.66     11.81      18012.0     74.74    183.90 2.03e-03     278.02     11.93  -9999.  -9999.  -9999.   -76.4656    39.0595  -9999.  -9999.  -9999.
2910.55  -9999.    211.56 1.62e+00     -1.69     11.90      18017.3     74.67    183.87 2.03e-03     278.09     12.02  -9999.  -9999.  -9999.   -76.4655    39.0594  -9999.  -9999.  -9999.
2911.55  -9999.    211.53 1.63e+00     -1.73     11.99      18022.8     74.61    183.88 2.03e-03     278.20     12.11  -9999.  -9999.  -9999.   -76.4654    39.0594  -9999.  -9999.  -9999.
2912.55  -9999.    211.51 1.64e+00     -1.77     12.06      18028.5     74.54    183.89 2.03e-03     278.34     12.19  -9999.  -9999.  -9999.   -76.4653    39.0594  -9999.  -9999.  -9999.
2913.55  -9999.    211.48 1.64e+00     -1.81     12.13      18034.2     74.47    183.89 2.03e-03     278.50     12.27  -9999.  -9999.  -9999.   -76.4651    39.0593  -9999.  -9999.  -9999.
2914.55  -9999.    211.45 1.63e+00     -1.86     12.19      18039.6     74.40    183.85 2.02e-03     278.69     12.33  -9999.  -9999.  -9999.   -76.4650    39.0593  -9999.  -9999.  -9999.
2915.55  -9999.    211.42 1.62e+00     -1.92     12.24      18045.1     74.34    183.78 2.00e-03     278.90     12.39  -9999.  -9999.  -9999.   -76.4648    39.0593  -9999.  -9999.  -9999.
2916.55  -9999.    211.40 1.62e+00     -1.97     12.29      18050.7     74.27    183.74 1.99e-03     279.12     12.45  -9999.  -9999.  -9999.   -76.4646    39.0593  -9999.  -9999.  -9999.
2917.55  -9999.    211.39 1.62e+00     -2.03     12.33      18056.4     74.20    183.74 1.99e-03     279.37     12.49  -9999.  -9999.  -9999.   -76.4645    39.0593  -9999.  -9999.  -9999.
2918.55  -9999.    211.39 1.62e+00     -2.10     12.35      18061.7     74.14    183.74 1.99e-03     279.64     12.53  -9999.  -9999.  -9999.   -76.4643    39.0593  -9999.  -9999.  -9999.
2919.55  -9999.    211.40 1.61e+00     -2.17     12.37      18066.8     74.08    183.72 1.99e-03     279.93     12.55  -9999.  -9999.  -9999.   -76.4642    39.0593  -9999.  -9999.  -9999.
2920.55  -9999.    211.41 1.60e+00     -2.23     12.37      18071.8     74.02    183.69 1.98e-03     280.24     12.57  -9999.  -9999.  -9999.   -76.4641    39.0593  -9999.  -9999.  -9999.
2921.55  -9999.    211.42 1.59e+00     -2.30     12.36      18076.7     73.96    183.68 1.98e-03     280.55     12.57  -9999.  -9999.  -9999.   -76.4639    39.0592  -9999.  -9999.  -9999.
2922.55  -9999.    211.42 1.60e+00     -2.37     12.34      18082.0     73.90    183.70 1.98e-03     280.87     12.56  -9999.  -9999.  -9999.   -76.4637    39.0592  -9999.  -9999.  -9999.
2923.55  -9999.    211.43 1.60e+00     -2.43     12.30      18087.7     73.83    183.70 1.99e-03     281.17     12.54  -9999.  -9999.  -9999.   -76.4636    39.0592  -9999.  -9999.  -9999.
2924.55  -9999.    211.44 1.59e+00     -2.49     12.26      18093.2     73.76    183.68 1.98e-03     281.47     12.51  -9999.  -9999.  -9999.   -76.4634    39.0591  -9999.  -9999.  -9999.
2925.55  -9999.    211.46 1.58e+00     -2.54     12.21      18098.0     73.71    183.67 1.98e-03     281.77     12.47  -9999.  -9999.  -9999.   -76.4633    39.0591  -9999.  -9999.  -9999.
2926.55  -9999.    211.48 1.58e+00     -2.60     12.15      18102.8     73.65    183.69 1.99e-03     282.06     12.42  -9999.  -9999.  -9999.   -76.4632    39.0591  -9999.  -9999.  -9999.
2927.55  -9999.    211.51 1.59e+00     -2.64     12.07      18108.1     73.59    183.71 2.00e-03     282.35     12.36  -9999.  -9999.  -9999.   -76.4631    39.0591  -9999.  -9999.  -9999.
2928.55  -9999.    211.53 1.58e+00     -2.69     11.99      18113.9     73.52    183.72 2.00e-03     282.65     12.29  -9999.  -9999.  -9999.   -76.4629    39.0590  -9999.  -9999.  -9999.
2929.55  -9999.    211.55 1.58e+00     -2.73     11.89      18119.9     73.45    183.72 2.00e-03     282.94     12.20  -9999.  -9999.  -9999.   -76.4627    39.0590  -9999.  -9999.  -9999.
2930.55  -9999.    211.55 1.58e+00     -2.77     11.79      18125.9     73.37    183.72 2.01e-03     283.22     12.11  -9999.  -9999.  -9999.   -76.4625    39.0590  -9999.  -9999.  -9999.
2931.55  -9999.    211.53 1.58e+00     -2.80     11.67      18131.5     73.31    183.72 2.01e-03     283.49     12.00  -9999.  -9999.  -9999.   -76.4624    39.0589  -9999.  -9999.  -9999.
2932.55  -9999.    211.51 1.58e+00     -2.82     11.55      18136.2     73.25    183.71 2.01e-03     283.74     11.89  -9999.  -9999.  -9999.   -76.4623    39.0589  -9999.  -9999.  -9999.
2933.55  -9999.    211.48 1.59e+00     -2.84     11.43      18140.5     73.20    183.70 2.00e-03     283.97     11.78  -9999.  -9999.  -9999.   -76.4621    39.0589  -9999.  -9999.  -9999.
2934.55  -9999.    211.46 1.59e+00     -2.86     11.30      18145.0     73.15    183.70 2.00e-03     284.19     11.65  -9999.  -9999.  -9999.   -76.4620    39.0589  -9999.  -9999.  -9999.
2935.55  -9999.    211.43 1.60e+00     -2.87     11.16      18150.5     73.08    183.71 2.01e-03     284.41     11.52  -9999.  -9999.  -9999.   -76.4619    39.0588  -9999.  -9999.  -9999.
2936.55  -9999.    211.40 1.61e+00     -2.87     11.02      18156.4     73.01    183.71 2.01e-03     284.61     11.39  -9999.  -9999.  -9999.   -76.4618    39.0588  -9999.  -9999.  -9999.
2937.55  -9999.    211.37 1.61e+00     -2.88     10.87      18162.2     72.95    183.70 2.01e-03     284.81     11.25  -9999.  -9999.  -9999.   -76.4616    39.0588  -9999.  -9999.  -9999.
2938.55  -9999.    211.36 1.61e+00     -2.87     10.73      18167.9     72.88    183.71 2.01e-03     285.00     11.10  -9999.  -9999.  -9999.   -76.4615    39.0588  -9999.  -9999.  -9999.
2939.55  -9999.    211.36 1.62e+00     -2.87     10.58      18173.6     72.81    183.73 2.03e-03     285.17     10.96  -9999.  -9999.  -9999.   -76.4613    39.0587  -9999.  -9999.  -9999.
2940.55  -9999.    211.37 1.62e+00     -2.86     10.43      18179.5     72.74    183.74 2.03e-03     285.32     10.82  -9999.  -9999.  -9999.   -76.4612    39.0587  -9999.  -9999.  -9999.
2941.55  -9999.    211.38 1.61e+00     -2.84     10.29      18185.1     72.68    183.72 2.02e-03     285.45     10.67  -9999.  -9999.  -9999.   -76.4612    39.0587  -9999.  -9999.  -9999.
2942.55  -9999.    211.37 1.61e+00     -2.82     10.14      18190.5     72.61    183.70 2.02e-03     285.56     10.53  -9999.  -9999.  -9999.   -76.4611    39.0586  -9999.  -9999.  -9999.
2943.55  -9999.    211.35 1.61e+00     -2.80     10.00      18195.8     72.55    183.70 2.02e-03     285.65     10.39  -9999.  -9999.  -9999.   -76.4610    39.0586  -9999.  -9999.  -9999.
2944.55  -9999.    211.34 1.62e+00     -2.78      9.86      18201.4     72.49    183.73 2.03e-03     285.73     10.24  -9999.  -9999.  -9999.   -76.4609    39.0586  -9999.  -9999.  -9999.
2945.55  -9999.    211.32 1.63e+00     -2.75      9.73      18207.0     72.42    183.73 2.04e-03     285.78     10.11  -9999.  -9999.  -9999.   -76.4608    39.0586  -9999.  -9999.  -9999.
2946.55  -9999.    211.30 1.63e+00     -2.72      9.60      18212.6     72.35    183.71 2.03e-03     285.81      9.98  -9999.  -9999.  -9999.   -76.4606    39.0586  -9999.  -9999.  -9999.
2947.55  -9999.    211.29 1.62e+00     -2.68      9.48      18218.2     72.29    183.67 2.02e-03     285.82      9.85  -9999.  -9999.  -9999.   -76.4605    39.0585  -9999.  -9999.  -9999.
2948.55  -9999.    211.27 1.62e+00     -2.65      9.36      18223.9     72.22    183.65 2.01e-03     285.79      9.73  -9999.  -9999.  -9999.   -76.4604    39.0585  -9999.  -9999.  -9999.
2949.55  -9999.    211.24 1.62e+00     -2.61      9.26      18229.4     72.16    183.64 2.01e-03     285.73      9.62  -9999.  -9999.  -9999.   -76.4603    39.0585  -9999.  -9999.  -9999.
2950.55  -9999.    211.21 1.63e+00     -2.56      9.16      18234.8     72.09    183.64 2.01e-03     285.63      9.51  -9999.  -9999.  -9999.   -76.4602    39.0585  -9999.  -9999.  -9999.
2951.55  -9999.    211.18 1.63e+00     -2.51      9.07      18240.0     72.03    183.63 2.01e-03     285.50      9.41  -9999.  -9999.  -9999.   -76.4601    39.0585  -9999.  -9999.  -9999.
2952.55  -9999.    211.14 1.63e+00     -2.46      8.98      18245.2     71.97    183.59 2.00e-03     285.32      9.31  -9999.  -9999.  -9999.   -76.4600    39.0584  -9999.  -9999.  -9999.
2953.55  -9999.    211.11 1.62e+00     -2.40      8.90      18250.2     71.92    183.53 1.98e-03     285.11      9.22  -9999.  -9999.  -9999.   -76.4599    39.0584  -9999.  -9999.  -9999.
2954.55  -9999.    211.08 1.62e+00     -2.34      8.82      18254.8     71.86    183.51 1.97e-03     284.85      9.13  -9999.  -9999.  -9999.   -76.4598    39.0584  -9999.  -9999.  -9999.
2955.55  -9999.    211.05 1.62e+00     -2.27      8.76      18259.5     71.81    183.50 1.97e-03     284.54      9.05  -9999.  -9999.  -9999.   -76.4597    39.0583  -9999.  -9999.  -9999.
2956.55  -9999.    211.03 1.62e+00     -2.20      8.70      18264.9     71.74    183.48 1.97e-03     284.19      8.98  -9999.  -9999.  -9999.   -76.4596    39.0583  -9999.  -9999.  -9999.
2957.55  -9999.    211.02 1.61e+00     -2.13      8.66      18271.1     71.67    183.45 1.96e-03     283.79      8.91  -9999.  -9999.  -9999.   -76.4595    39.0583  -9999.  -9999.  -9999.
2958.55  -9999.    211.01 1.61e+00     -2.04      8.62      18277.6     71.60    183.42 1.95e-03     283.35      8.85  -9999.  -9999.  -9999.   -76.4594    39.0583  -9999.  -9999.  -9999.
2959.55  -9999.    211.00 1.61e+00     -1.96      8.58      18284.0     71.52    183.43 1.95e-03     282.86      8.80  -9999.  -9999.  -9999.   -76.4594    39.0582  -9999.  -9999.  -9999.
2960.55  -9999.    211.00 1.62e+00     -1.87      8.55      18290.1     71.45    183.46 1.97e-03     282.33      8.75  -9999.  -9999.  -9999.   -76.4593    39.0582  -9999.  -9999.  -9999.
2961.55  -9999.    211.00 1.62e+00     -1.77      8.51      18295.9     71.39    183.48 1.97e-03     281.75      8.70  -9999.  -9999.  -9999.   -76.4592    39.0582  -9999.  -9999.  -9999.
2962.55  -9999.    211.00 1.62e+00     -1.67      8.49      18301.5     71.32    183.45 1.97e-03     281.14      8.65  -9999.  -9999.  -9999.   -76.4591    39.0582  -9999.  -9999.  -9999.
2963.55  -9999.    211.00 1.61e+00     -1.57      8.46      18307.1     71.26    183.43 1.96e-03     280.50      8.61  -9999.  -9999.  -9999.   -76.4590    39.0582  -9999.  -9999.  -9999.
2964.55  -9999.    211.02 1.61e+00     -1.46      8.45      18312.9     71.19    183.44 1.97e-03     279.83      8.57  -9999.  -9999.  -9999.   -76.4589    39.0581  -9999.  -9999.  -9999.
2965.55  -9999.    211.03 1.62e+00     -1.36      8.44      18318.6     71.12    183.48 1.98e-03     279.15      8.54  -9999.  -9999.  -9999.   -76.4587    39.0581  -9999.  -9999.  -9999.
2966.55  -9999.    211.02 1.63e+00     -1.25      8.43      18324.0     71.06    183.51 1.99e-03     278.45      8.52  -9999.  -9999.  -9999.   -76.4586    39.0581  -9999.  -9999.  -9999.
2967.55  -9999.    211.00 1.63e+00     -1.14      8.42      18329.2     71.00    183.50 1.99e-03     277.74      8.50  -9999.  -9999.  -9999.   -76.4586    39.0581  -9999.  -9999.  -9999.
2968.55  -9999.    210.97 1.63e+00     -1.04      8.41      18334.6     70.94    183.46 1.98e-03     277.03      8.47  -9999.  -9999.  -9999.   -76.4585    39.0581  -9999.  -9999.  -9999.
2969.55  -9999.    210.95 1.63e+00     -0.93      8.40      18340.4     70.87    183.44 1.98e-03     276.33      8.45  -9999.  -9999.  -9999.   -76.4584    39.0581  -9999.  -9999.  -9999.
2970.55  -9999.    210.92 1.63e+00     -0.83      8.39      18346.3     70.80    183.44 1.98e-03     275.64      8.43  -9999.  -9999.  -9999.   -76.4582    39.0581  -9999.  -9999.  -9999.
2971.55  -9999.    210.88 1.64e+00     -0.73      8.38      18352.3     70.74    183.44 1.98e-03     274.97      8.41  -9999.  -9999.  -9999.   -76.4581    39.0581  -9999.  -9999.  -9999.
2972.55  -9999.    210.84 1.64e+00     -0.63      8.37      18358.5     70.67    183.43 1.98e-03     274.33      8.40  -9999.  -9999.  -9999.   -76.4580    39.0581  -9999.  -9999.  -9999.
2973.55  -9999.    210.80 1.65e+00     -0.54      8.36      18364.5     70.60    183.40 1.97e-03     273.72      8.38  -9999.  -9999.  -9999.   -76.4580    39.0581  -9999.  -9999.  -9999.
2974.55  -9999.    210.76 1.65e+00     -0.46      8.36      18370.4     70.53    183.38 1.96e-03     273.17      8.37  -9999.  -9999.  -9999.   -76.4579    39.0580  -9999.  -9999.  -9999.
2975.55  -9999.    210.72 1.65e+00     -0.39      8.35      18376.6     70.46    183.37 1.96e-03     272.66      8.36  -9999.  -9999.  -9999.   -76.4578    39.0580  -9999.  -9999.  -9999.
2976.55  -9999.    210.68 1.66e+00     -0.32      8.35      18383.1     70.38    183.37 1.96e-03     272.21      8.35  -9999.  -9999.  -9999.   -76.4577    39.0581  -9999.  -9999.  -9999.
2977.55  -9999.    210.63 1.66e+00     -0.26      8.34      18389.4     70.31    183.34 1.95e-03     271.82      8.34  -9999.  -9999.  -9999.   -76.4576    39.0581  -9999.  -9999.  -9999.
2978.55  -9999.    210.59 1.66e+00     -0.22      8.32      18395.2     70.25    183.29 1.94e-03     271.48      8.32  -9999.  -9999.  -9999.   -76.4575    39.0581  -9999.  -9999.  -9999.
2979.55  -9999.    210.55 1.65e+00     -0.18      8.31      18400.9     70.18    183.23 1.92e-03     271.21      8.31  -9999.  -9999.  -9999.   -76.4574    39.0581  -9999.  -9999.  -9999.
2980.55  -9999.    210.51 1.64e+00     -0.14      8.29      18406.6     70.12    183.18 1.90e-03     271.00      8.29  -9999.  -9999.  -9999.   -76.4573    39.0581  -9999.  -9999.  -9999.
2981.55  -9999.    210.48 1.64e+00     -0.12      8.28      18412.2     70.05    183.14 1.89e-03     270.85      8.28  -9999.  -9999.  -9999.   -76.4572    39.0581  -9999.  -9999.  -9999.
2982.55  -9999.    210.45 1.64e+00     -0.11      8.26      18417.6     69.99    183.12 1.89e-03     270.77      8.26  -9999.  -9999.  -9999.   -76.4571    39.0581  -9999.  -9999.  -9999.
2983.55  -9999.    210.42 1.64e+00     -0.11      8.25      18422.6     69.93    183.10 1.88e-03     270.76      8.25  -9999.  -9999.  -9999.   -76.4570    39.0581  -9999.  -9999.  -9999.
2984.55  -9999.    210.41 1.64e+00     -0.12      8.23      18427.5     69.88    183.08 1.88e-03     270.81      8.24  -9999.  -9999.  -9999.   -76.4570    39.0582  -9999.  -9999.  -9999.
2985.55  -9999.    210.40 1.63e+00     -0.13      8.22      18432.9     69.82    183.05 1.87e-03     270.91      8.22  -9999.  -9999.  -9999.   -76.4569    39.0582  -9999.  -9999.  -9999.
2986.55  -9999.    210.40 1.62e+00     -0.15      8.19      18439.0     69.75    183.01 1.86e-03     271.06      8.19  -9999.  -9999.  -9999.   -76.4568    39.0582  -9999.  -9999.  -9999.
2987.55  -9999.    210.39 1.62e+00     -0.18      8.17      18445.3     69.68    183.00 1.86e-03     271.25      8.17  -9999.  -9999.  -9999.   -76.4567    39.0582  -9999.  -9999.  -9999.
2988.55  -9999.    210.37 1.62e+00     -0.21      8.14      18451.5     69.61    183.01 1.86e-03     271.49      8.14  -9999.  -9999.  -9999.   -76.4565    39.0582  -9999.  -9999.  -9999.
2989.55  -9999.    210.35 1.63e+00     -0.25      8.11      18457.3     69.54    183.03 1.87e-03     271.76      8.12  -9999.  -9999.  -9999.   -76.4564    39.0582  -9999.  -9999.  -9999.
2990.55  -9999.    210.32 1.64e+00     -0.29      8.09      18462.8     69.48    183.01 1.87e-03     272.06      8.10  -9999.  -9999.  -9999.   -76.4563    39.0582  -9999.  -9999.  -9999.
2991.55  -9999.    210.30 1.63e+00     -0.33      8.07      18468.3     69.42    182.98 1.86e-03     272.38      8.07  -9999.  -9999.  -9999.   -76.4562    39.0582  -9999.  -9999.  -9999.
2992.55  -9999.    210.28 1.63e+00     -0.38      8.04      18473.9     69.35    182.97 1.85e-03     272.71      8.05  -9999.  -9999.  -9999.   -76.4562    39.0582  -9999.  -9999.  -9999.
2993.55  -9999.    210.27 1.63e+00     -0.43      8.01      18479.3     69.29    182.96 1.86e-03     273.06      8.02  -9999.  -9999.  -9999.   -76.4561    39.0582  -9999.  -9999.  -9999.
2994.55  -9999.    210.25 1.64e+00     -0.47      7.98      18484.3     69.24    182.96 1.86e-03     273.41      7.99  -9999.  -9999.  -9999.   -76.4560    39.0581  -9999.  -9999.  -9999.
2995.55  -9999.    210.22 1.64e+00     -0.52      7.94      18489.2     69.18    182.96 1.86e-03     273.75      7.96  -9999.  -9999.  -9999.   -76.4559    39.0581  -9999.  -9999.  -9999.
2996.55  -9999.    210.19 1.64e+00     -0.57      7.91      18494.3     69.12    182.95 1.85e-03     274.09      7.93  -9999.  -9999.  -9999.   -76.4558    39.0581  -9999.  -9999.  -9999.
2997.55  -9999.    210.16 1.65e+00     -0.61      7.87      18499.5     69.07    182.93 1.85e-03     274.43      7.89  -9999.  -9999.  -9999.   -76.4557    39.0581  -9999.  -9999.  -9999.
2998.55  -9999.    210.13 1.65e+00     -0.65      7.83      18504.7     69.01    182.91 1.85e-03     274.76      7.86  -9999.  -9999.  -9999.   -76.4556    39.0581  -9999.  -9999.  -9999.
2999.55  -9999.    210.11 1.65e+00     -0.69      7.80      18510.6     68.94    182.89 1.84e-03     275.07      7.83  -9999.  -9999.  -9999.   -76.4555    39.0581  -9999.  -9999.  -9999.
3000.55  -9999.    210.09 1.65e+00     -0.73      7.77      18517.0     68.87    182.88 1.84e-03     275.38      7.80  -9999.  -9999.  -9999.   -76.4554    39.0581  -9999.  -9999.  -9999.
3001.55  -9999.    210.08 1.64e+00     -0.77      7.73      18523.4     68.80    182.86 1.83e-03     275.67      7.77  -9999.  -9999.  -9999.   -76.4554    39.0581  -9999.  -9999.  -9999.
3002.55  -9999.    210.06 1.64e+00     -0.80      7.70      18529.4     68.73    182.83 1.83e-03     275.94      7.74  -9999.  -9999.  -9999.   -76.4553    39.0581  -9999.  -9999.  -9999.
3003.55  -9999.    210.04 1.63e+00     -0.83      7.66      18534.9     68.67    182.78 1.81e-03     276.20      7.71  -9999.  -9999.  -9999.   -76.4552    39.0581  -9999.  -9999.  -9999.
3004.55  -9999.    210.02 1.62e+00     -0.86      7.62      18540.2     68.61    182.72 1.79e-03     276.43      7.67  -9999.  -9999.  -9999.   -76.4551    39.0580  -9999.  -9999.  -9999.
3005.55  -9999.    210.00 1.61e+00     -0.88      7.58      18545.7     68.55    182.69 1.79e-03     276.65      7.64  -9999.  -9999.  -9999.   -76.4550    39.0580  -9999.  -9999.  -9999.
3006.55  -9999.    209.99 1.61e+00     -0.91      7.55      18551.3     68.49    182.68 1.78e-03     276.87      7.60  -9999.  -9999.  -9999.   -76.4549    39.0580  -9999.  -9999.  -9999.
3007.55  -9999.    209.98 1.61e+00     -0.93      7.51      18556.7     68.43    182.67 1.78e-03     277.08      7.57  -9999.  -9999.  -9999.   -76.4548    39.0580  -9999.  -9999.  -9999.
3008.55  -9999.    209.97 1.60e+00     -0.96      7.48      18561.7     68.37    182.65 1.78e-03     277.30      7.55  -9999.  -9999.  -9999.   -76.4547    39.0580  -9999.  -9999.  -9999.
3009.55  -9999.    209.96 1.60e+00     -0.98      7.46      18566.7     68.32    182.64 1.77e-03     277.52      7.52  -9999.  -9999.  -9999.   -76.4546    39.0580  -9999.  -9999.  -9999.
3010.55  -9999.    209.97 1.61e+00     -1.01      7.43      18571.7     68.26    182.66 1.78e-03     277.75      7.50  -9999.  -9999.  -9999.   -76.4546    39.0580  -9999.  -9999.  -9999.
3011.55  -9999.    209.99 1.61e+00     -1.04      7.40      18576.7     68.20    182.68 1.79e-03     277.99      7.47  -9999.  -9999.  -9999.   -76.4545    39.0580  -9999.  -9999.  -9999.
3012.55  -9999.    210.02 1.61e+00     -1.07      7.37      18581.6     68.15    182.68 1.79e-03     278.24      7.45  -9999.  -9999.  -9999.   -76.4544    39.0580  -9999.  -9999.  -9999.
3013.55  -9999.    210.04 1.61e+00     -1.10      7.35      18586.7     68.09    182.70 1.80e-03     278.49      7.43  -9999.  -9999.  -9999.   -76.4543    39.0580  -9999.  -9999.  -9999.
3014.55  -9999.    210.06 1.61e+00     -1.13      7.32      18592.0     68.03    182.74 1.81e-03     278.76      7.41  -9999.  -9999.  -9999.   -76.4542    39.0580  -9999.  -9999.  -9999.
3015.55  -9999.    210.10 1.62e+00     -1.16      7.30      18597.5     67.97    182.79 1.83e-03     279.05      7.39  -9999.  -9999.  -9999.   -76.4541    39.0580  -9999.  -9999.  -9999.
3016.55  -9999.    210.14 1.62e+00     -1.20      7.29      18603.2     67.91    182.83 1.85e-03     279.37      7.38  -9999.  -9999.  -9999.   -76.4541    39.0579  -9999.  -9999.  -9999.
3017.55  -9999.    210.17 1.62e+00     -1.24      7.27      18608.9     67.85    182.85 1.86e-03     279.71      7.38  -9999.  -9999.  -9999.   -76.4540    39.0579  -9999.  -9999.  -9999.
3018.55  -9999.    210.19 1.62e+00     -1.29      7.26      18615.0     67.78    182.88 1.87e-03     280.08      7.37  -9999.  -9999.  -9999.   -76.4539    39.0579  -9999.  -9999.  -9999.
3019.55  -9999.    210.20 1.63e+00     -1.34      7.24      18621.5     67.71    182.91 1.88e-03     280.47      7.37  -9999.  -9999.  -9999.   -76.4539    39.0579  -9999.  -9999.  -9999.
3020.55  -9999.    210.20 1.64e+00     -1.39      7.23      18627.6     67.64    182.93 1.89e-03     280.88      7.36  -9999.  -9999.  -9999.   -76.4538    39.0579  -9999.  -9999.  -9999.
3021.55  -9999.    210.20 1.64e+00     -1.44      7.22      18633.0     67.58    182.94 1.89e-03     281.28      7.36  -9999.  -9999.  -9999.   -76.4537    39.0579  -9999.  -9999.  -9999.
3022.55  -9999.    210.18 1.65e+00     -1.49      7.21      18638.1     67.53    182.95 1.90e-03     281.70      7.36  -9999.  -9999.  -9999.   -76.4535    39.0579  -9999.  -9999.  -9999.
3023.55  -9999.    210.15 1.66e+00     -1.55      7.20      18643.7     67.46    182.96 1.90e-03     282.12      7.36  -9999.  -9999.  -9999.   -76.4534    39.0579  -9999.  -9999.  -9999.
3024.55  -9999.    210.12 1.66e+00     -1.60      7.19      18649.5     67.40    182.96 1.91e-03     282.55      7.37  -9999.  -9999.  -9999.   -76.4533    39.0579  -9999.  -9999.  -9999.
3025.55  -9999.    210.11 1.67e+00     -1.66      7.19      18654.9     67.34    182.96 1.91e-03     283.00      7.38  -9999.  -9999.  -9999.   -76.4533    39.0578  -9999.  -9999.  -9999.
3026.55  -9999.    210.11 1.66e+00     -1.72      7.19      18659.9     67.29    182.95 1.90e-03     283.45      7.39  -9999.  -9999.  -9999.   -76.4533    39.0578  -9999.  -9999.  -9999.
3027.55  -9999.    210.12 1.66e+00     -1.78      7.19      18664.6     67.24    182.96 1.91e-03     283.90      7.40  -9999.  -9999.  -9999.   -76.4532    39.0578  -9999.  -9999.  -9999.
3028.55  -9999.    210.15 1.66e+00     -1.84      7.18      18669.5     67.18    182.96 1.91e-03     284.35      7.41  -9999.  -9999.  -9999.   -76.4532    39.0578  -9999.  -9999.  -9999.
3029.55  -9999.    210.16 1.66e+00     -1.89      7.18      18674.7     67.13    182.97 1.92e-03     284.77      7.43  -9999.  -9999.  -9999.   -76.4531    39.0578  -9999.  -9999.  -9999.
3030.55  -9999.    210.16 1.66e+00     -1.95      7.18      18680.3     67.07    182.97 1.92e-03     285.16      7.44  -9999.  -9999.  -9999.   -76.4529    39.0577  -9999.  -9999.  -9999.
3031.55  -9999.    210.15 1.66e+00     -2.00      7.18      18686.0     67.00    182.97 1.92e-03     285.53      7.45  -9999.  -9999.  -9999.   -76.4528    39.0577  -9999.  -9999.  -9999.
3032.55  -9999.    210.15 1.66e+00     -2.04      7.18      18691.5     66.94    182.96 1.92e-03     285.87      7.47  -9999.  -9999.  -9999.   -76.4527    39.0577  -9999.  -9999.  -9999.
3033.55  -9999.    210.16 1.66e+00     -2.09      7.18      18696.9     66.88    182.96 1.92e-03     286.19      7.48  -9999.  -9999.  -9999.   -76.4526    39.0577  -9999.  -9999.  -9999.
3034.55  -9999.    210.17 1.65e+00     -2.13      7.19      18702.4     66.82    182.96 1.92e-03     286.49      7.50  -9999.  -9999.  -9999.   -76.4525    39.0577  -9999.  -9999.  -9999.
