Generated by Rfunction:  Get.alv.mw41.edt.func2 
============> Radisonde_info:
RS_type:        RS92
RS_config:      2.02
RS_serialnum:   G3043154
RS_freq:        405.3
RS__windtype:   ccGPS
=============> Station_info:
Station:        ALVICE_RS92SGP
Latitude:       39.0563
Longitude:      -76.8755
Altitude:       53
SW version:     MW41 2.2.0
Start time:     2020-01-23 06:46:40
=============> Variables & units - Vaisala EDT
NA_numeric value:  -9999
NA_string:  xx or NA
-----------------------------
	  Variable       Unit
	      time        sec
	        xx         NA
	        Ta          K
	        RH          %
	   v(S->N)        m/s
	   u(E->W)        m/s
	    Height          m
	     press        hPa
	        Td          K
	        MR       g/Kg
	        DD        dgr
	        FF        m/s
	        xx         NA
	        xx         NA
	        xx         NA
	       Lon        dgr
	       Lat        dgr
	        xx         NA
	        xx         NA
	        xx         NA
=============> Data:
  49.45  -9999.    273.16 4.66e+01      3.21      0.50        345.7    986.43    263.07 1.80e+00     188.88      3.25  -9999.  -9999.  -9999.   -76.8748    39.0577  -9999.  -9999.  -9999.
  50.45  -9999.    273.12 4.66e+01      3.17      0.46        351.9    985.68    263.05 1.80e+00     188.20      3.20  -9999.  -9999.  -9999.   -76.8748    39.0577  -9999.  -9999.  -9999.
  51.45  -9999.    273.09 4.65e+01      3.13      0.41        358.3    984.89    262.98 1.79e+00     187.51      3.16  -9999.  -9999.  -9999.   -76.8748    39.0577  -9999.  -9999.  -9999.
  52.45  -9999.    273.06 4.64e+01      3.10      0.37        364.7    984.11    262.92 1.78e+00     186.83      3.12  -9999.  -9999.  -9999.   -76.8748    39.0578  -9999.  -9999.  -9999.
  53.45  -9999.    273.03 4.65e+01      3.06      0.33        370.8    983.34    262.93 1.78e+00     186.14      3.08  -9999.  -9999.  -9999.   -76.8748    39.0578  -9999.  -9999.  -9999.
  54.45  -9999.    272.99 4.67e+01      3.03      0.29        377.0    982.59    262.95 1.79e+00     185.45      3.04  -9999.  -9999.  -9999.   -76.8748    39.0579  -9999.  -9999.  -9999.
  55.45  -9999.    272.95 4.67e+01      3.00      0.25        383.2    981.82    262.93 1.79e+00     184.75      3.01  -9999.  -9999.  -9999.   -76.8748    39.0579  -9999.  -9999.  -9999.
  56.45  -9999.    272.92 4.67e+01      2.97      0.21        389.7    981.03    262.88 1.78e+00     184.05      2.98  -9999.  -9999.  -9999.   -76.8748    39.0579  -9999.  -9999.  -9999.
  57.45  -9999.    272.88 4.65e+01      2.94      0.17        396.1    980.24    262.81 1.77e+00     183.35      2.95  -9999.  -9999.  -9999.   -76.8748    39.0579  -9999.  -9999.  -9999.
  58.45  -9999.    272.86 4.64e+01      2.91      0.14        402.4    979.47    262.74 1.77e+00     182.65      2.92  -9999.  -9999.  -9999.   -76.8748    39.0579  -9999.  -9999.  -9999.
  59.45  -9999.    272.83 4.62e+01      2.89      0.10        408.3    978.75    262.66 1.75e+00     181.96      2.89  -9999.  -9999.  -9999.   -76.8748    39.0579  -9999.  -9999.  -9999.
  60.45  -9999.    272.79 4.61e+01      2.86      0.06        413.8    978.08    262.60 1.75e+00     181.27      2.86  -9999.  -9999.  -9999.   -76.8748    39.0579  -9999.  -9999.  -9999.
  61.45  -9999.    272.75 4.62e+01      2.84      0.03        419.4    977.39    262.60 1.75e+00     180.57      2.84  -9999.  -9999.  -9999.   -76.8748    39.0580  -9999.  -9999.  -9999.
  62.45  -9999.    272.71 4.64e+01      2.81     -0.01        425.5    976.64    262.63 1.75e+00     179.87      2.81  -9999.  -9999.  -9999.   -76.8748    39.0580  -9999.  -9999.  -9999.
  63.45  -9999.    272.68 4.66e+01      2.79     -0.04        431.9    975.86    262.65 1.76e+00     179.19      2.79  -9999.  -9999.  -9999.   -76.8748    39.0580  -9999.  -9999.  -9999.
  64.45  -9999.    272.64 4.67e+01      2.77     -0.07        438.1    975.10    262.64 1.76e+00     178.52      2.77  -9999.  -9999.  -9999.   -76.8748    39.0581  -9999.  -9999.  -9999.
  65.45  -9999.    272.60 4.69e+01      2.76     -0.10        444.0    974.39    262.64 1.76e+00     177.89      2.76  -9999.  -9999.  -9999.   -76.8748    39.0581  -9999.  -9999.  -9999.
  66.45  -9999.    272.57 4.69e+01      2.75     -0.13        449.7    973.69    262.61 1.76e+00     177.29      2.75  -9999.  -9999.  -9999.   -76.8748    39.0581  -9999.  -9999.  -9999.
  67.45  -9999.    272.54 4.67e+01      2.74     -0.16        455.5    972.99    262.55 1.75e+00     176.74      2.75  -9999.  -9999.  -9999.   -76.8748    39.0581  -9999.  -9999.  -9999.
  68.45  -9999.    272.51 4.66e+01      2.74     -0.18        461.7    972.23    262.49 1.74e+00     176.21      2.74  -9999.  -9999.  -9999.   -76.8748    39.0582  -9999.  -9999.  -9999.
  69.45  -9999.    272.48 4.66e+01      2.73     -0.21        468.4    971.41    262.45 1.74e+00     175.71      2.74  -9999.  -9999.  -9999.   -76.8748    39.0582  -9999.  -9999.  -9999.
  70.45  -9999.    272.43 4.67e+01      2.73     -0.23        475.4    970.56    262.43 1.74e+00     175.23      2.74  -9999.  -9999.  -9999.   -76.8748    39.0582  -9999.  -9999.  -9999.
  71.45  -9999.    272.38 4.67e+01      2.73     -0.25        482.4    969.71    262.41 1.74e+00     174.79      2.74  -9999.  -9999.  -9999.   -76.8748    39.0582  -9999.  -9999.  -9999.
  72.45  -9999.    272.34 4.69e+01      2.74     -0.27        489.1    968.89    262.40 1.74e+00     174.37      2.75  -9999.  -9999.  -9999.   -76.8748    39.0582  -9999.  -9999.  -9999.
  73.45  -9999.    272.30 4.70e+01      2.74     -0.29        495.4    968.13    262.39 1.74e+00     174.01      2.76  -9999.  -9999.  -9999.   -76.8748    39.0582  -9999.  -9999.  -9999.
  74.45  -9999.    272.27 4.69e+01      2.75     -0.30        501.3    967.42    262.36 1.73e+00     173.72      2.77  -9999.  -9999.  -9999.   -76.8748    39.0583  -9999.  -9999.  -9999.
  75.45  -9999.    272.24 4.69e+01      2.76     -0.31        506.9    966.74    262.31 1.73e+00     173.49      2.78  -9999.  -9999.  -9999.   -76.8748    39.0583  -9999.  -9999.  -9999.
  76.45  -9999.    272.21 4.68e+01      2.77     -0.32        512.5    966.06    262.27 1.72e+00     173.33      2.79  -9999.  -9999.  -9999.   -76.8748    39.0584  -9999.  -9999.  -9999.
