Generated by Rfunction:  Get.mw41.edt.func2 
============> Radisonde_info:
RS_type:        RS41-SGP
RS_config:      -32768
RS_serialnum:   R3340183
RS_freq:        403
RS__windtype:   ccGPS
=============> Station_info:
Station:        HUBV_RS41SGP
Latitude:       39.0563
Longitude:      -76.8755
Altitude:       52.3
SW version:     MW41 2.15.0
Start time:     2020-01-23 06:46:41
=============> Variables & units - Vaisala EDT
NA_numeric value:  -9999
NA_string:  xx or NA
-----------------------------
	  Variable       Unit
	      time        sec
	        xx         NA
	        Ta          K
	        RH          %
	   v(S->N)        m/s
	   u(E->W)        m/s
	    Height          m
	     press        hPa
	        Td          K
	        MR       g/Kg
	        DD        dgr
	        FF        m/s
	Ascend_FLG  (0-N,1-Y)
	        xx         NA
	        xx         NA
	       Lon        dgr
	       Lat        dgr
	        xx         NA
	        xx         NA
	        xx         NA
=============> Data:
  51.81  -9999.    272.97    46.59      3.11      0.40        365.6    983.85    262.91     1.78     187.34      3.14 1  -9999.  -9999.   -76.8748    39.0577  -9999.  -9999.  -9999.
  52.81  -9999.    272.95    46.71      3.08      0.36        372.4    983.09    262.92     1.78     186.66      3.10 1  -9999.  -9999.   -76.8748    39.0578  -9999.  -9999.  -9999.
  53.81  -9999.    272.92    46.99      3.04      0.32        378.5    982.32    262.97     1.79     185.98      3.06 1  -9999.  -9999.   -76.8748    39.0578  -9999.  -9999.  -9999.
  54.81  -9999.    272.87    47.04      3.01      0.28        385.2    981.55    262.94     1.79     185.29      3.02 1  -9999.  -9999.   -76.8748    39.0578  -9999.  -9999.  -9999.
  55.81  -9999.    272.84    46.69      2.98      0.24        391.0    980.79    262.81     1.77     184.60      2.99 1  -9999.  -9999.   -76.8748    39.0579  -9999.  -9999.  -9999.
  56.81  -9999.    272.82    46.39      2.95      0.20        396.3    980.03    262.71     1.76     183.90      2.96 1  -9999.  -9999.   -76.8748    39.0579  -9999.  -9999.  -9999.
  57.81  -9999.    272.78    46.51      2.92      0.16        403.3    979.28    262.71     1.76     183.21      2.93 1  -9999.  -9999.   -76.8748    39.0579  -9999.  -9999.  -9999.
  58.81  -9999.    272.75    46.45      2.89      0.13        409.2    978.54    262.67     1.76     182.52      2.90 1  -9999.  -9999.   -76.8748    39.0579  -9999.  -9999.  -9999.
  59.81  -9999.    272.72    46.29      2.87      0.09        416.6    977.80    262.59     1.75     181.83      2.87 1  -9999.  -9999.   -76.8748    39.0579  -9999.  -9999.  -9999.
  60.81  -9999.    272.68    46.44      2.84      0.06        421.3    977.07    262.59     1.75     181.14      2.84 1  -9999.  -9999.   -76.8748    39.0579  -9999.  -9999.  -9999.
  61.81  -9999.    272.63    46.74      2.82      0.02        426.2    976.34    262.64     1.76     180.45      2.82 1  -9999.  -9999.   -76.8748    39.0580  -9999.  -9999.  -9999.
  62.81  -9999.    272.60    47.00      2.79     -0.01        432.4    975.60    262.68     1.76     179.76      2.79 1  -9999.  -9999.   -76.8748    39.0580  -9999.  -9999.  -9999.
  63.81  -9999.    272.58    47.02      2.77     -0.04        439.1    974.87    262.66     1.76     179.08      2.77 1  -9999.  -9999.   -76.8748    39.0580  -9999.  -9999.  -9999.
