Generated by Rfunction:  Get.mw41.edt.func2 
============> Radisonde_info:
RS_type:        RS41-SGP
RS_config:      -32768
RS_serialnum:   R3340183
RS_freq:        403
RS__windtype:   ccGPS
=============> Station_info:
Station:        HUBV_RS41SGP
Latitude:       39.0563
Longitude:      -76.8755
Altitude:       52.3
SW version:     MW41 2.15.0
Start time:     2020-01-23 06:46:41
=============> Variables & units - Vaisala EDT
NA_numeric value:  -9999
NA_string:  xx or NA
-----------------------------
	  Variable       Unit
	      time        sec
	        xx         NA
	        Ta          K
	        RH          %
	   v(S->N)        m/s
	   u(E->W)        m/s
	    Height          m
	     press        hPa
	        Td          K
	        MR       g/Kg
	        DD        dgr
	        FF        m/s
	Ascend_FLG  (0-N,1-Y)
	        xx         NA
	        xx         NA
	       Lon        dgr
	       Lat        dgr
	        xx         NA
	        xx         NA
	        xx         NA
=============> Data:
2273.81  -9999.    211.72     2.24      0.26     14.96      14767.9    126.21    185.86     0.00     269.00     14.97 1  -9999.  -9999.   -76.5717    39.0745  -9999.  -9999.  -9999.
2274.81  -9999.    211.69     2.24      0.29     15.05      14772.4    126.11    185.84     0.00     268.89     15.05 1  -9999.  -9999.   -76.5716    39.0745  -9999.  -9999.  -9999.
2275.81  -9999.    211.66     2.24      0.32     15.14      14777.3    126.01    185.82     0.00     268.78     15.14 1  -9999.  -9999.   -76.5714    39.0745  -9999.  -9999.  -9999.
2276.81  -9999.    211.65     2.24      0.35     15.22      14782.2    125.91    185.81     0.00     268.68     15.23 1  -9999.  -9999.   -76.5713    39.0745  -9999.  -9999.  -9999.
2277.81  -9999.    211.63     2.24      0.38     15.31      14788.3    125.81    185.80     0.00     268.59     15.31 1  -9999.  -9999.   -76.5711    39.0745  -9999.  -9999.  -9999.
2278.81  -9999.    211.61     2.24      0.40     15.39      14793.1    125.71    185.79     0.00     268.52     15.39 1  -9999.  -9999.   -76.5708    39.0745  -9999.  -9999.  -9999.
2279.81  -9999.    211.58     2.25      0.41     15.46      14796.8    125.61    185.79     0.00     268.47     15.47 1  -9999.  -9999.   -76.5706    39.0745  -9999.  -9999.  -9999.
2280.81  -9999.    211.55     2.25      0.43     15.54      14802.9    125.51    185.78     0.00     268.43     15.54 1  -9999.  -9999.   -76.5704    39.0745  -9999.  -9999.  -9999.
2281.81  -9999.    211.52     2.26      0.43     15.61      14807.2    125.41    185.78     0.00     268.41     15.61 1  -9999.  -9999.   -76.5702    39.0745  -9999.  -9999.  -9999.
2282.81  -9999.    211.50     2.27      0.44     15.68      14812.1    125.31    185.78     0.00     268.40     15.68 1  -9999.  -9999.   -76.5701    39.0745  -9999.  -9999.  -9999.
2283.81  -9999.    211.48     2.27      0.44     15.75      14817.5    125.21    185.78     0.00     268.40     15.75 1  -9999.  -9999.   -76.5700    39.0745  -9999.  -9999.  -9999.
2284.81  -9999.    211.45     2.28      0.44     15.81      14823.5    125.11    185.77     0.00     268.41     15.82 1  -9999.  -9999.   -76.5698    39.0745  -9999.  -9999.  -9999.
2285.81  -9999.    211.41     2.29      0.43     15.88      14828.8    125.01    185.76     0.00     268.43     15.89 1  -9999.  -9999.   -76.5696    39.0745  -9999.  -9999.  -9999.
2286.81  -9999.    211.38     2.30      0.43     15.95      14832.9    124.91    185.75     0.00     268.47     15.95 1  -9999.  -9999.   -76.5694    39.0746  -9999.  -9999.  -9999.
2287.81  -9999.    211.34     2.30      0.41     16.01      14835.9    124.81    185.74     0.00     268.54     16.02 1  -9999.  -9999.   -76.5692    39.0746  -9999.  -9999.  -9999.
2288.81  -9999.    211.31     2.31      0.39     16.08      14840.5    124.72    185.74     0.00     268.62     16.08 1  -9999.  -9999.   -76.5690    39.0746  -9999.  -9999.  -9999.
2289.81  -9999.    211.29     2.31      0.36     16.14      14845.9    124.62    185.73     0.00     268.73     16.15 1  -9999.  -9999.   -76.5688    39.0746  -9999.  -9999.  -9999.
2290.81  -9999.    211.26     2.32      0.33     16.21      14851.3    124.52    185.73     0.00     268.84     16.21 1  -9999.  -9999.   -76.5687    39.0746  -9999.  -9999.  -9999.
2291.81  -9999.    211.24     2.32      0.29     16.27      14856.3    124.42    185.72     0.00     268.97     16.27 1  -9999.  -9999.   -76.5685    39.0746  -9999.  -9999.  -9999.
2292.81  -9999.    211.23     2.33      0.25     16.33      14862.7    124.32    185.72     0.00     269.11     16.33 1  -9999.  -9999.   -76.5683    39.0746  -9999.  -9999.  -9999.
2293.81  -9999.    211.22     2.33      0.21     16.39      14867.1    124.22    185.71     0.00     269.26     16.39 1  -9999.  -9999.   -76.5681    39.0746  -9999.  -9999.  -9999.
2294.81  -9999.    211.18     2.33      0.17     16.46      14871.5    124.12    185.69     0.00     269.41     16.46 1  -9999.  -9999.   -76.5679    39.0746  -9999.  -9999.  -9999.
2295.81  -9999.    211.16     2.33      0.12     16.52      14876.7    124.02    185.67     0.00     269.58     16.52 1  -9999.  -9999.   -76.5677    39.0746  -9999.  -9999.  -9999.
2296.81  -9999.    211.16     2.33      0.07     16.59      14881.1    123.92    185.67     0.00     269.76     16.59 1  -9999.  -9999.   -76.5675    39.0746  -9999.  -9999.  -9999.
2297.81  -9999.    211.17     2.33      0.02     16.65      14885.3    123.83    185.68     0.00     269.94     16.65 1  -9999.  -9999.   -76.5673    39.0746  -9999.  -9999.  -9999.
2298.81  -9999.    211.16     2.33     -0.04     16.72      14890.2    123.73    185.67     0.00     270.14     16.72 1  -9999.  -9999.   -76.5671    39.0746  -9999.  -9999.  -9999.
2299.81  -9999.    211.15     2.33     -0.10     16.78      14895.3    123.62    185.66     0.00     270.34     16.78 1  -9999.  -9999.   -76.5669    39.0746  -9999.  -9999.  -9999.
2300.81  -9999.    211.14     2.32     -0.16     16.84      14901.5    123.52    185.65     0.00     270.54     16.84 1  -9999.  -9999.   -76.5667    39.0746  -9999.  -9999.  -9999.
2301.81  -9999.    211.16     2.32     -0.22     16.91      14906.8    123.42    185.65     0.00     270.74     16.91 1  -9999.  -9999.   -76.5665    39.0746  -9999.  -9999.  -9999.
2302.81  -9999.    211.15     2.32     -0.28     16.97      14911.6    123.31    185.65     0.00     270.95     16.97 1  -9999.  -9999.   -76.5663    39.0746  -9999.  -9999.  -9999.
2303.81  -9999.    211.14     2.32     -0.34     17.03      14917.8    123.21    185.64     0.00     271.14     17.04 1  -9999.  -9999.   -76.5662    39.0746  -9999.  -9999.  -9999.
2304.81  -9999.    211.12     2.32     -0.40     17.10      14922.4    123.10    185.62     0.00     271.33     17.10 1  -9999.  -9999.   -76.5660    39.0746  -9999.  -9999.  -9999.
2305.81  -9999.    211.09     2.32     -0.45     17.16      14927.9    123.00    185.59     0.00     271.50     17.17 1  -9999.  -9999.   -76.5658    39.0746  -9999.  -9999.  -9999.
2306.81  -9999.    211.05     2.32     -0.50     17.23      14931.9    122.90    185.57     0.00     271.67     17.23 1  -9999.  -9999.   -76.5656    39.0746  -9999.  -9999.  -9999.
2307.81  -9999.    211.02     2.32     -0.55     17.29      14938.3    122.80    185.55     0.00     271.84     17.29 1  -9999.  -9999.   -76.5654    39.0746  -9999.  -9999.  -9999.
2308.81  -9999.    211.00     2.33     -0.61     17.34      14943.4    122.70    185.55     0.00     272.00     17.35 1  -9999.  -9999.   -76.5652    39.0745  -9999.  -9999.  -9999.
2309.81  -9999.    210.98     2.33     -0.66     17.40      14947.6    122.60    185.54     0.00     272.16     17.41 1  -9999.  -9999.   -76.5649    39.0745  -9999.  -9999.  -9999.
2310.81  -9999.    210.95     2.34     -0.70     17.45      14952.0    122.50    185.54     0.00     272.31     17.47 1  -9999.  -9999.   -76.5647    39.0745  -9999.  -9999.  -9999.
2311.81  -9999.    210.93     2.35     -0.75     17.50      14957.9    122.40    185.54     0.00     272.45     17.52 1  -9999.  -9999.   -76.5645    39.0745  -9999.  -9999.  -9999.
2312.81  -9999.    210.91     2.36     -0.79     17.55      14962.7    122.30    185.55     0.00     272.59     17.57 1  -9999.  -9999.   -76.5644    39.0745  -9999.  -9999.  -9999.
2313.81  -9999.    210.88     2.37     -0.83     17.60      14967.4    122.20    185.55     0.00     272.71     17.62 1  -9999.  -9999.   -76.5642    39.0745  -9999.  -9999.  -9999.
2314.81  -9999.    210.87     2.38     -0.87     17.65      14972.9    122.11    185.58     0.00     272.82     17.67 1  -9999.  -9999.   -76.5640    39.0745  -9999.  -9999.  -9999.
2315.81  -9999.    210.87     2.39     -0.90     17.69      14977.1    122.01    185.60     0.00     272.92     17.71 1  -9999.  -9999.   -76.5639    39.0745  -9999.  -9999.  -9999.
2316.81  -9999.    210.85     2.40     -0.94     17.72      14982.8    121.91    185.61     0.00     273.02     17.75 1  -9999.  -9999.   -76.5636    39.0745  -9999.  -9999.  -9999.
2317.81  -9999.    210.82     2.41     -0.97     17.75      14988.0    121.81    185.62     0.00     273.12     17.78 1  -9999.  -9999.   -76.5634    39.0745  -9999.  -9999.  -9999.
2318.81  -9999.    210.80     2.42     -1.00     17.78      14991.5    121.71    185.63     0.00     273.22     17.81 1  -9999.  -9999.   -76.5631    39.0745  -9999.  -9999.  -9999.
2319.81  -9999.    210.78     2.43     -1.03     17.80      14996.5    121.61    185.63     0.00     273.31     17.83 1  -9999.  -9999.   -76.5629    39.0745  -9999.  -9999.  -9999.
2320.81  -9999.    210.74     2.44     -1.06     17.82      15002.6    121.51    185.62     0.00     273.40     17.85 1  -9999.  -9999.   -76.5627    39.0744  -9999.  -9999.  -9999.
2321.81  -9999.    210.70     2.45     -1.08     17.83      15009.1    121.41    185.61     0.00     273.47     17.86 1  -9999.  -9999.   -76.5625    39.0744  -9999.  -9999.  -9999.
2322.81  -9999.    210.66     2.45     -1.11     17.84      15013.0    121.31    185.59     0.00     273.55     17.88 1  -9999.  -9999.   -76.5623    39.0744  -9999.  -9999.  -9999.
2323.81  -9999.    210.63     2.45     -1.13     17.85      15017.5    121.21    185.58     0.00     273.62     17.88 1  -9999.  -9999.   -76.5621    39.0744  -9999.  -9999.  -9999.
2324.81  -9999.    210.59     2.46     -1.15     17.85      15023.7    121.11    185.56     0.00     273.68     17.89 1  -9999.  -9999.   -76.5619    39.0744  -9999.  -9999.  -9999.
2325.81  -9999.    210.56     2.46     -1.17     17.85      15029.2    121.01    185.53     0.00     273.75     17.89 1  -9999.  -9999.   -76.5617    39.0744  -9999.  -9999.  -9999.
2326.81  -9999.    210.53     2.46     -1.19     17.85      15032.0    120.91    185.51     0.00     273.81     17.89 1  -9999.  -9999.   -76.5614    39.0744  -9999.  -9999.  -9999.
2327.81  -9999.    210.50     2.46     -1.21     17.85      15037.1    120.81    185.49     0.00     273.87     17.89 1  -9999.  -9999.   -76.5612    39.0744  -9999.  -9999.  -9999.
2328.81  -9999.    210.49     2.46     -1.22     17.84      15043.5    120.71    185.48     0.00     273.92     17.89 1  -9999.  -9999.   -76.5610    39.0744  -9999.  -9999.  -9999.
2329.81  -9999.    210.49     2.45     -1.23     17.84      15049.8    120.61    185.47     0.00     273.96     17.88 1  -9999.  -9999.   -76.5608    39.0744  -9999.  -9999.  -9999.
2330.81  -9999.    210.48     2.45     -1.24     17.84      15052.8    120.51    185.45     0.00     273.98     17.88 1  -9999.  -9999.   -76.5606    39.0744  -9999.  -9999.  -9999.
2331.81  -9999.    210.47     2.44     -1.25     17.84      15058.5    120.42    185.42     0.00     274.00     17.88 1  -9999.  -9999.   -76.5604    39.0744  -9999.  -9999.  -9999.
2332.81  -9999.    210.46     2.44     -1.25     17.83      15063.2    120.32    185.40     0.00     274.01     17.88 1  -9999.  -9999.   -76.5602    39.0743  -9999.  -9999.  -9999.
2333.81  -9999.    210.45     2.43     -1.25     17.84      15068.5    120.22    185.37     0.00     274.00     17.88 1  -9999.  -9999.   -76.5600    39.0743  -9999.  -9999.  -9999.
2334.81  -9999.    210.42     2.42     -1.24     17.84      15073.5    120.12    185.33     0.00     273.99     17.88 1  -9999.  -9999.   -76.5598    39.0743  -9999.  -9999.  -9999.
2335.81  -9999.    210.41     2.41     -1.24     17.85      15079.3    120.02    185.30     0.00     273.96     17.90 1  -9999.  -9999.   -76.5596    39.0742  -9999.  -9999.  -9999.
2336.81  -9999.    210.43     2.40     -1.22     17.87      15083.5    119.91    185.29     0.00     273.92     17.91 1  -9999.  -9999.   -76.5594    39.0742  -9999.  -9999.  -9999.
2337.81  -9999.    210.49     2.39     -1.21     17.89      15089.6    119.81    185.31     0.00     273.86     17.93 1  -9999.  -9999.   -76.5592    39.0742  -9999.  -9999.  -9999.
2338.81  -9999.    210.56     2.37     -1.18     17.92      15094.9    119.71    185.33     0.00     273.78     17.96 1  -9999.  -9999.   -76.5590    39.0742  -9999.  -9999.  -9999.
2339.81  -9999.    210.61     2.36     -1.16     17.95      15099.0    119.61    185.35     0.00     273.68     17.98 1  -9999.  -9999.   -76.5589    39.0742  -9999.  -9999.  -9999.
2340.81  -9999.    210.69     2.35     -1.12     17.98      15105.5    119.50    185.38     0.00     273.57     18.02 1  -9999.  -9999.   -76.5587    39.0742  -9999.  -9999.  -9999.
2341.81  -9999.    210.77     2.35     -1.09     18.02      15111.6    119.40    185.42     0.00     273.45     18.05 1  -9999.  -9999.   -76.5585    39.0742  -9999.  -9999.  -9999.
2342.81  -9999.    210.82     2.34     -1.05     18.07      15116.1    119.30    185.44     0.00     273.32     18.10 1  -9999.  -9999.   -76.5582    39.0741  -9999.  -9999.  -9999.
2343.81  -9999.    210.84     2.33     -1.01     18.12      15120.8    119.20    185.44     0.00     273.18     18.15 1  -9999.  -9999.   -76.5580    39.0741  -9999.  -9999.  -9999.
2344.81  -9999.    210.82     2.33     -0.96     18.18      15125.8    119.10    185.43     0.00     273.03     18.21 1  -9999.  -9999.   -76.5578    39.0741  -9999.  -9999.  -9999.
2345.81  -9999.    210.79     2.33     -0.91     18.25      15130.7    118.99    185.41     0.00     272.87     18.27 1  -9999.  -9999.   -76.5575    39.0741  -9999.  -9999.  -9999.
2346.81  -9999.    210.76     2.34     -0.86     18.32      15138.1    118.89    185.39     0.00     272.70     18.34 1  -9999.  -9999.   -76.5574    39.0742  -9999.  -9999.  -9999.
2347.81  -9999.    210.73     2.34     -0.81     18.39      15141.8    118.78    185.38     0.00     272.53     18.41 1  -9999.  -9999.   -76.5572    39.0742  -9999.  -9999.  -9999.
2348.81  -9999.    210.69     2.35     -0.76     18.47      15148.4    118.68    185.37     0.00     272.35     18.48 1  -9999.  -9999.   -76.5570    39.0742  -9999.  -9999.  -9999.
2349.81  -9999.    210.64     2.36     -0.70     18.54      15154.5    118.58    185.35     0.00     272.17     18.56 1  -9999.  -9999.   -76.5568    39.0742  -9999.  -9999.  -9999.
2350.81  -9999.    210.60     2.37     -0.65     18.63      15159.3    118.48    185.35     0.00     272.00     18.64 1  -9999.  -9999.   -76.5565    39.0741  -9999.  -9999.  -9999.
2351.81  -9999.    210.56     2.38     -0.60     18.71      15163.1    118.39    185.34     0.00     271.83     18.72 1  -9999.  -9999.   -76.5563    39.0741  -9999.  -9999.  -9999.
2352.81  -9999.    210.52     2.39     -0.55     18.80      15168.5    118.29    185.34     0.00     271.68     18.81 1  -9999.  -9999.   -76.5561    39.0741  -9999.  -9999.  -9999.
2353.81  -9999.    210.48     2.40     -0.51     18.89      15174.3    118.20    185.33     0.00     271.54     18.90 1  -9999.  -9999.   -76.5558    39.0741  -9999.  -9999.  -9999.
2354.81  -9999.    210.46     2.41     -0.47     18.98      15176.9    118.10    185.34     0.00     271.43     18.99 1  -9999.  -9999.   -76.5556    39.0741  -9999.  -9999.  -9999.
2355.81  -9999.    210.45     2.42     -0.44     19.08      15181.7    118.01    185.35     0.00     271.33     19.08 1  -9999.  -9999.   -76.5554    39.0741  -9999.  -9999.  -9999.
2356.81  -9999.    210.44     2.43     -0.42     19.17      15186.2    117.91    185.36     0.00     271.25     19.17 1  -9999.  -9999.   -76.5552    39.0741  -9999.  -9999.  -9999.
2357.81  -9999.    210.43     2.43     -0.40     19.26      15193.2    117.82    185.37     0.00     271.19     19.26 1  -9999.  -9999.   -76.5550    39.0741  -9999.  -9999.  -9999.
2358.81  -9999.    210.39     2.44     -0.39     19.35      15198.8    117.72    185.35     0.00     271.15     19.36 1  -9999.  -9999.   -76.5548    39.0741  -9999.  -9999.  -9999.
2359.81  -9999.    210.37     2.44     -0.38     19.45      15203.8    117.62    185.34     0.00     271.13     19.45 1  -9999.  -9999.   -76.5545    39.0741  -9999.  -9999.  -9999.
2360.81  -9999.    210.36     2.44     -0.39     19.54      15208.7    117.52    185.33     0.00     271.13     19.55 1  -9999.  -9999.   -76.5543    39.0741  -9999.  -9999.  -9999.
2361.81  -9999.    210.34     2.44     -0.40     19.64      15213.6    117.41    185.32     0.00     271.16     19.65 1  -9999.  -9999.   -76.5541    39.0741  -9999.  -9999.  -9999.
2362.81  -9999.    210.33     2.44     -0.42     19.74      15218.9    117.31    185.30     0.00     271.22     19.75 1  -9999.  -9999.   -76.5539    39.0741  -9999.  -9999.  -9999.
2363.81  -9999.    210.33     2.43     -0.45     19.84      15223.7    117.21    185.30     0.00     271.31     19.85 1  -9999.  -9999.   -76.5537    39.0741  -9999.  -9999.  -9999.
2364.81  -9999.    210.38     2.43     -0.49     19.94      15230.5    117.11    185.32     0.00     271.42     19.95 1  -9999.  -9999.   -76.5534    39.0741  -9999.  -9999.  -9999.
2365.81  -9999.    210.44     2.42     -0.54     20.04      15237.4    117.00    185.36     0.00     271.55     20.05 1  -9999.  -9999.   -76.5532    39.0741  -9999.  -9999.  -9999.
2366.81  -9999.    210.46     2.42     -0.60     20.14      15242.0    116.90    185.35     0.00     271.69     20.15 1  -9999.  -9999.   -76.5530    39.0741  -9999.  -9999.  -9999.
2367.81  -9999.    210.45     2.41     -0.66     20.24      15246.2    116.81    185.33     0.00     271.87     20.26 1  -9999.  -9999.   -76.5527    39.0741  -9999.  -9999.  -9999.
2368.81  -9999.    210.45     2.40     -0.73     20.35      15250.7    116.71    185.32     0.00     272.06     20.36 1  -9999.  -9999.   -76.5524    39.0741  -9999.  -9999.  -9999.
2369.81  -9999.    210.45     2.40     -0.81     20.46      15256.2    116.62    185.30     0.00     272.27     20.47 1  -9999.  -9999.   -76.5522    39.0741  -9999.  -9999.  -9999.
2370.81  -9999.    210.45     2.39     -0.90     20.57      15260.2    116.52    185.29     0.00     272.49     20.59 1  -9999.  -9999.   -76.5520    39.0741  -9999.  -9999.  -9999.
2371.81  -9999.    210.46     2.39     -0.99     20.68      15265.7    116.43    185.28     0.00     272.73     20.70 1  -9999.  -9999.   -76.5518    39.0741  -9999.  -9999.  -9999.
2372.81  -9999.    210.45     2.38     -1.08     20.79      15271.2    116.33    185.26     0.00     272.98     20.81 1  -9999.  -9999.   -76.5516    39.0741  -9999.  -9999.  -9999.
2373.81  -9999.    210.45     2.38     -1.18     20.90      15277.4    116.23    185.25     0.00     273.23     20.93 1  -9999.  -9999.   -76.5513    39.0741  -9999.  -9999.  -9999.
2374.81  -9999.    210.50     2.37     -1.28     21.01      15280.8    116.14    185.28     0.00     273.48     21.05 1  -9999.  -9999.   -76.5511    39.0741  -9999.  -9999.  -9999.
2375.81  -9999.    210.60     2.37     -1.38     21.12      15286.1    116.04    185.34     0.00     273.73     21.16 1  -9999.  -9999.   -76.5508    39.0741  -9999.  -9999.  -9999.
2376.81  -9999.    210.73     2.36     -1.48     21.23      15291.6    115.94    185.43     0.00     273.98     21.28 1  -9999.  -9999.   -76.5506    39.0740  -9999.  -9999.  -9999.
2377.81  -9999.    210.81     2.36     -1.58     21.34      15297.3    115.85    185.48     0.00     274.23     21.40 1  -9999.  -9999.   -76.5503    39.0740  -9999.  -9999.  -9999.
2378.81  -9999.    210.84     2.35     -1.68     21.45      15301.3    115.75    185.48     0.00     274.47     21.51 1  -9999.  -9999.   -76.5501    39.0740  -9999.  -9999.  -9999.
2379.81  -9999.    210.82     2.35     -1.78     21.55      15306.0    115.65    185.46     0.00     274.71     21.63 1  -9999.  -9999.   -76.5498    39.0740  -9999.  -9999.  -9999.
2380.81  -9999.    210.83     2.34     -1.87     21.66      15313.0    115.55    185.46     0.00     274.95     21.74 1  -9999.  -9999.   -76.5496    39.0740  -9999.  -9999.  -9999.
2381.81  -9999.    210.84     2.34     -1.97     21.75      15320.0    115.45    185.46     0.00     275.17     21.84 1  -9999.  -9999.   -76.5493    39.0740  -9999.  -9999.  -9999.
2382.81  -9999.    210.83     2.33     -2.06     21.85      15324.5    115.35    185.44     0.00     275.39     21.94 1  -9999.  -9999.   -76.5491    39.0740  -9999.  -9999.  -9999.
2383.81  -9999.    210.82     2.33     -2.15     21.93      15328.8    115.25    185.42     0.00     275.60     22.04 1  -9999.  -9999.   -76.5488    39.0739  -9999.  -9999.  -9999.
2384.81  -9999.    210.83     2.33     -2.24     22.02      15333.7    115.15    185.42     0.00     275.81     22.13 1  -9999.  -9999.   -76.5485    39.0739  -9999.  -9999.  -9999.
2385.81  -9999.    210.84     2.33     -2.33     22.09      15339.0    115.06    185.43     0.00     276.01     22.22 1  -9999.  -9999.   -76.5483    39.0738  -9999.  -9999.  -9999.
2386.81  -9999.    210.86     2.32     -2.41     22.16      15343.3    114.96    185.43     0.00     276.20     22.29 1  -9999.  -9999.   -76.5480    39.0738  -9999.  -9999.  -9999.
2387.81  -9999.    210.87     2.32     -2.49     22.22      15348.4    114.86    185.43     0.00     276.39     22.36 1  -9999.  -9999.   -76.5478    39.0737  -9999.  -9999.  -9999.
2388.81  -9999.    210.85     2.32     -2.56     22.27      15354.9    114.76    185.42     0.00     276.57     22.42 1  -9999.  -9999.   -76.5475    39.0737  -9999.  -9999.  -9999.
2389.81  -9999.    210.82     2.32     -2.64     22.31      15361.0    114.66    185.39     0.00     276.75     22.46 1  -9999.  -9999.   -76.5473    39.0738  -9999.  -9999.  -9999.
2390.81  -9999.    210.79     2.32     -2.71     22.33      15366.7    114.56    185.37     0.00     276.93     22.50 1  -9999.  -9999.   -76.5470    39.0738  -9999.  -9999.  -9999.
2391.81  -9999.    210.76     2.32     -2.79     22.35      15371.1    114.46    185.34     0.00     277.12     22.52 1  -9999.  -9999.   -76.5467    39.0738  -9999.  -9999.  -9999.
2392.81  -9999.    210.72     2.32     -2.87     22.35      15376.2    114.36    185.31     0.00     277.32     22.54 1  -9999.  -9999.   -76.5464    39.0737  -9999.  -9999.  -9999.
2393.81  -9999.    210.69     2.31     -2.95     22.35      15381.0    114.27    185.28     0.00     277.52     22.54 1  -9999.  -9999.   -76.5462    39.0737  -9999.  -9999.  -9999.
2394.81  -9999.    210.64     2.31     -3.03     22.33      15386.8    114.17    185.24     0.00     277.74     22.53 1  -9999.  -9999.   -76.5459    39.0736  -9999.  -9999.  -9999.
2395.81  -9999.    210.60     2.31     -3.12     22.30      15392.4    114.07    185.20     0.00     277.96     22.51 1  -9999.  -9999.   -76.5457    39.0736  -9999.  -9999.  -9999.
2396.81  -9999.    210.60     2.31     -3.21     22.25      15398.2    113.97    185.19     0.00     278.20     22.48 1  -9999.  -9999.   -76.5454    39.0736  -9999.  -9999.  -9999.
2397.81  -9999.    210.67     2.30     -3.30     22.19      15401.9    113.87    185.24     0.00     278.46     22.43 1  -9999.  -9999.   -76.5451    39.0735  -9999.  -9999.  -9999.
2398.81  -9999.    210.82     2.30     -3.40     22.11      15409.2    113.77    185.34     0.00     278.73     22.37 1  -9999.  -9999.   -76.5449    39.0736  -9999.  -9999.  -9999.
2399.81  -9999.    210.93     2.30     -3.50     22.02      15414.1    113.67    185.41     0.00     279.03     22.30 1  -9999.  -9999.   -76.5446    39.0736  -9999.  -9999.  -9999.
2400.81  -9999.    211.00     2.29     -3.61     21.93      15419.6    113.57    185.45     0.00     279.35     22.22 1  -9999.  -9999.   -76.5443    39.0735  -9999.  -9999.  -9999.
2401.81  -9999.    211.07     2.29     -3.72     21.82      15426.0    113.47    185.50     0.00     279.69     22.13 1  -9999.  -9999.   -76.5440    39.0735  -9999.  -9999.  -9999.
2402.81  -9999.    211.11     2.28     -3.84     21.70      15431.4    113.37    185.51     0.00     280.05     22.04 1  -9999.  -9999.   -76.5438    39.0734  -9999.  -9999.  -9999.
2403.81  -9999.    211.15     2.28     -3.97     21.57      15434.8    113.27    185.54     0.00     280.43     21.93 1  -9999.  -9999.   -76.5435    39.0734  -9999.  -9999.  -9999.
2404.81  -9999.    211.20     2.27     -4.10     21.42      15440.3    113.18    185.56     0.00     280.83     21.81 1  -9999.  -9999.   -76.5433    39.0733  -9999.  -9999.  -9999.
2405.81  -9999.    211.20     2.27     -4.23     21.27      15446.4    113.08    185.55     0.00     281.24     21.68 1  -9999.  -9999.   -76.5430    39.0733  -9999.  -9999.  -9999.
2406.81  -9999.    211.19     2.26     -4.36     21.10      15451.2    112.99    185.53     0.00     281.68     21.55 1  -9999.  -9999.   -76.5428    39.0733  -9999.  -9999.  -9999.
2407.81  -9999.    211.19     2.26     -4.50     20.93      15456.5    112.90    185.52     0.00     282.13     21.41 1  -9999.  -9999.   -76.5425    39.0733  -9999.  -9999.  -9999.
2408.81  -9999.    211.20     2.25     -4.64     20.75      15461.6    112.81    185.51     0.00     282.60     21.26 1  -9999.  -9999.   -76.5423    39.0733  -9999.  -9999.  -9999.
2409.81  -9999.    211.26     2.25     -4.78     20.57      15466.0    112.72    185.54     0.00     283.08     21.11 1  -9999.  -9999.   -76.5420    39.0733  -9999.  -9999.  -9999.
2410.81  -9999.    211.36     2.24     -4.92     20.38      15471.3    112.63    185.59     0.00     283.58     20.96 1  -9999.  -9999.   -76.5418    39.0732  -9999.  -9999.  -9999.
2411.81  -9999.    211.42     2.23     -5.06     20.18      15476.4    112.54    185.62     0.00     284.08     20.81 1  -9999.  -9999.   -76.5416    39.0732  -9999.  -9999.  -9999.
2412.81  -9999.    211.45     2.22     -5.20     19.98      15478.9    112.45    185.62     0.00     284.59     20.65 1  -9999.  -9999.   -76.5414    39.0731  -9999.  -9999.  -9999.
2413.81  -9999.    211.47     2.21     -5.33     19.78      15484.4    112.35    185.60     0.00     285.09     20.48 1  -9999.  -9999.   -76.5412    39.0730  -9999.  -9999.  -9999.
2414.81  -9999.    211.48     2.20     -5.46     19.57      15490.8    112.26    185.57     0.00     285.59     20.32 1  -9999.  -9999.   -76.5409    39.0729  -9999.  -9999.  -9999.
2415.81  -9999.    211.48     2.19     -5.58     19.36      15497.3    112.16    185.55     0.00     286.08     20.15 1  -9999.  -9999.   -76.5407    39.0728  -9999.  -9999.  -9999.
2416.81  -9999.    211.48     2.18     -5.69     19.15      15502.2    112.06    185.52     0.00     286.56     19.98 1  -9999.  -9999.   -76.5404    39.0727  -9999.  -9999.  -9999.
2417.81  -9999.    211.48     2.16     -5.80     18.94      15506.6    111.96    185.48     0.00     287.03     19.81 1  -9999.  -9999.   -76.5402    39.0727  -9999.  -9999.  -9999.
2418.81  -9999.    211.48     2.15     -5.91     18.74      15511.9    111.86    185.46     0.00     287.50     19.65 1  -9999.  -9999.   -76.5400    39.0727  -9999.  -9999.  -9999.
2419.81  -9999.    211.50     2.14     -6.00     18.53      15516.6    111.75    185.45     0.00     287.95     19.48 1  -9999.  -9999.   -76.5398    39.0727  -9999.  -9999.  -9999.
2420.81  -9999.    211.52     2.14     -6.09     18.32      15525.0    111.64    185.44     0.00     288.39     19.31 1  -9999.  -9999.   -76.5397    39.0726  -9999.  -9999.  -9999.
2421.81  -9999.    211.54     2.13     -6.17     18.12      15531.1    111.53    185.44     0.00     288.81     19.14 1  -9999.  -9999.   -76.5395    39.0726  -9999.  -9999.  -9999.
2422.81  -9999.    211.59     2.13     -6.24     17.91      15538.0    111.41    185.46     0.00     289.21     18.97 1  -9999.  -9999.   -76.5392    39.0725  -9999.  -9999.  -9999.
